"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20109061,2080036120,2120036150
20109065,2080036120,2120036210
20109088,2080030830,2120030830
20109089,2080030830,2120030830
20109116,2080036120,2120036170
20109187,2080036120,2120036210
20109188,2080036120,2120036210
20109189,2080036120,2120036210
20109259,2080036120,2120036150
20109265,2080036120,2120036210
20109266,2080036120,2120036210
20109326,2080036120,2120036150
20109330,2080036120,2120036210
20109404,2080036120,2120036150
20109467,2080036120,2120036150
20109468,2080036120,2120036170
20109469,2080036120,2120036170
20109533,2080036120,2120036150
20109534,2080036120,2120036170
20109561,2080030890,2120030890
20109562,2080030890,2120030890
20109563,2080029520,2120029520
20109564,2080029520,2120029520
20109608,2080036120,2120036150
20109623,2080030890,2120030890
20109624,2080029520,2120029520
20109664,2080036120,2120036170
20109665,2080036120,2120036170
20109666,2080036120,2120036170
20109667,2080036120,2120036170
20109685,2080029520,2120029520
20109729,2080036120,2120036150
20109730,2080036120,2120036170
20109731,2080036120,2120036170
20109783,2080036120,2120036150
20109784,2080036120,2120036150
20109785,2080036120,2120036170
20109786,2080036120,2120036170
20109849,2080036120,2120036150
20109866,2080029470,2120029490
20109867,2080029520,2120029520
20109868,2080029520,2120029520
20109916,2080036120,2120036170
20109917,2080036120,2120036170
20109918,2080036120,2120036140
20109996,2080036120,2120036150
20109997,2080036120,2120036150
20109998,2080036120,2120036150
20109999,2080036120,2120036170
20110000,2080036120,2120036170
20110001,2080036120,2120036140
20110002,2080036120,2120036140
20110003,2080036120,2120036140
20110060,2080036120,2120036150
20110061,2080036120,2120036150
20110134,2080036120,2120036150
20110135,2080036120,2120036150
20110136,2080036120,2120036150
20110233,2080029520,2120029520
20110286,2080036120,2120036150
20110287,2080036120,2120036140
20110288,2080036120,2120036140
20110302,2080029520,2120029520
20110343,2080036120,2120036140
20110344,2080036120,2120036140
20110345,2080036120,2120036140
20110424,2080029470,2120029490
20110461,2080036120,2120036150
20110462,2080036120,2120036140
20110463,2080036120,2120036140
20110464,2080036120,2120036140
20110495,2080029470,2120029490
20110537,2080036120,2120036150
20110538,2080036120,2120036150
20110607,2080036120,2120036140
20110643,2080029520,2120029520
20110697,2080036120,2120036150
20110757,2080036120,2120036140
20110758,2080036120,2120036140
20110770,2080029470,2120029490
20110800,2080036120,2120036150
20110801,2080036120,2120036140
20110819,2080029520,2120029520
20110853,2080036120,2120036140
20110854,2080036120,2120036140
20110855,2080036120,2120036140
20110914,2080036120,2120036140
20110915,2080036120,2120036140
20110916,2080036120,2120036140
20110917,2080036120,2120036140
20110918,2080036120,2120036140
20110964,2080036120,2120036140
20110965,2080036120,2120036140
20110966,2080036120,2120036140
20110967,2080036120,2120036140
20110968,2080036120,2120036140
20110985,2080029520,2120029520
20111032,2080036120,2120036140
20111033,2080036120,2120036140
20111034,2080036120,2120036140
20111088,2080036120,2120036140
20111089,2080036120,2120036140
20111165,2080031070,2120031070
20111197,2080036120,2120036140
20111198,2080036120,2120036140
20111199,2080036120,2120036140
20111200,2080036120,2120036140
20111217,2080030890,2120031050
20111219,2080029520,2120029520
20111220,2080029520,2120029520
20111258,2080036120,2120036140
20111326,2080036120,2120036140
20111384,2080036120,2120036140
20111449,2080036120,2120036140
20111450,2080036120,2120036140
20111451,2080036120,2120036140
20111518,2080036120,2120036140
20111589,2080036120,2120036140
20111590,2080036120,2120036140
20111591,2080036120,2120036140
20111592,2080036120,2120036140
20111593,2080036120,2120036140
20111594,2080036120,2120036140
20111673,2080036120,2120036140
20111674,2080036120,2120036140
20111675,2080036120,2120036140
20111740,2080035940,2120036060
20111741,2080036120,2120036140
20111742,2080036120,2120036140
20111743,2080036120,2120036140
20111744,2080036120,2120036140
20111758,2080029520,2120029520
20111814,2080036120,2120036140
20111838,2080031070,2120031070
20111840,2080030890,2120030930
20111882,2080036120,2120036140
